age,mean,sd,2.50%,25%,50%,75%,97.50%
56138,1339.103851,143.3544305,1083.580466,1239.589502,1331.826311,1430.08147,1646.707504
56120,1356.223748,106.0668687,1163.324613,1282.861185,1351.844946,1424.356866,1578.126497
56119,1352.161052,108.9269101,1154.131719,1275.873191,1347.895799,1422.974922,1579.406686
56109,1332.184644,126.6249173,1103.504324,1243.225092,1325.113839,1413.206219,1599.831536
56099,1312.992021,141.6460829,1058.197753,1214.580532,1304.479481,1403.577788,1614.677177
56098,1312.04541,142.5897338,1056.966182,1212.215618,1305.023026,1403.538251,1609.397243
56086,1292.212208,153.0822263,1021.863523,1186.568221,1280.960869,1387.214996,1625.942796
56079,1283.082134,157.7585048,1002.329221,1171.81371,1273.254712,1381.337727,1624.410263
56075,1278.371157,159.893013,993.4136079,1166.404551,1269.199558,1377.725361,1622.623299
56064,1265.439818,165.0539652,968.3814154,1149.834146,1253.94037,1369.17695,1619.908952
56060,1258.596949,164.9780211,965.2282929,1144.041173,1248.825976,1360.977572,1611.885589
56052,1241.920746,164.2177764,952.2344649,1127.260749,1231.275272,1344.666307,1592.431724
56041,1227.21076,162.2488539,940.2134125,1114.85626,1216.318154,1326.362765,1579.132218
56040,1228.50301,162.4873896,943.5963566,1115.504306,1217.362299,1327.950904,1582.869729
56032,1217.498969,161.1632486,933.5765951,1104.845116,1207.382933,1317.262689,1561.50861
56020,1201.929966,157.3648228,923.5064001,1090.734178,1191.878126,1299.282877,1546.990598
56018,1202.148598,155.5973936,926.2083211,1092.646036,1192.589836,1302.111947,1533.589298
56007,1195.869383,148.8213739,927.0347175,1093.288191,1187.73365,1288.535012,1516.006104
56000,1195.115625,144.0775323,939.8554751,1095.007259,1188.058589,1286.291091,1501.052321
55993,1190.220596,137.4638472,942.5902258,1095.09499,1182.296722,1276.395065,1483.650952
55985,1185.711646,127.0537202,957.1663657,1097.947636,1179.178404,1265.801282,1459.351559
55983,1185.039015,125.5447749,958.0039821,1098.446383,1176.737521,1264.926571,1452.083843
55981,1189.143722,122.4117269,969.1937292,1103.950334,1182.676532,1266.912071,1451.977392
55975,1184.653097,113.1322076,978.2720571,1105.127539,1178.638457,1257.378133,1421.709643
55971,1183.423859,106.9573619,987.0702619,1109.981941,1178.752556,1253.1809,1408.553046
55970,1183.942263,105.0673429,991.5176653,1110.900061,1179.24032,1251.381538,1406.162454
55966,1182.650699,95.858659,1008.595423,1116.064599,1177.765277,1243.731324,1386.200718
55965,1184.574487,94.22111539,1011.717562,1118.27356,1181.596612,1245.725638,1380.828404
55961,1241.502066,102.0933349,1054.446493,1170.534353,1237.860721,1307.001415,1453.883309
55959,1267.060454,102.8075942,1081.075085,1194.346477,1261.849541,1333.654084,1482.380249
55957,1298.881463,104.5530404,1107.523254,1226.28946,1294.585761,1364.794869,1516.41835
55956,1320.668335,105.1176219,1131.293119,1246.584919,1315.150426,1388.058574,1541.394455
55954,1349.763769,111.7866345,1147.909956,1271.430293,1343.558674,1420.722932,1584.679796
55950,1414.458659,121.1470322,1198.979223,1328.587566,1407.873197,1492.298519,1668.903791
55948,1468.435978,127.3808533,1237.506259,1379.910341,1462.456188,1549.991731,1738.359206
55946,1519.404419,132.2606914,1280.476006,1428.558093,1513.034603,1603.101115,1794.273067
55944,1584.214406,139.6976704,1333.896326,1485.98888,1576.77411,1673.268657,1880.713316
55942,1657.812869,146.5126949,1394.330045,1554.991347,1650.59233,1753.845766,1958.410057
55934,2026.037709,187.2546773,1684.387869,1894.993064,2017.60013,2146.311847,2416.00144
55932,2170.030681,205.8006884,1798.431763,2026.187571,2160.021863,2301.250574,2597.251716
55930,2187.374725,212.8795222,1798.451355,2038.884554,2176.786749,2320.151666,2638.683184
55927,2214.549079,213.2617594,1831.940065,2065.249867,2201.528638,2349.876159,2663.64357
55926,2221.67965,216.4662755,1834.408889,2071.309187,2209.25679,2356.873585,2684.963504
55924,2224.745098,220.0812494,1828.006007,2070.398431,2212.416745,2366.217119,2680.950553
55920,2234.296899,227.986171,1829.093125,2075.379803,2220.351156,2380.307926,2715.498786
55917,2236.277777,230.6282809,1825.533967,2073.459482,2222.073203,2384.144973,2726.071142
55914,2252.836154,232.5803609,1838.507897,2090.051436,2239.777011,2399.534929,2749.213344
55907,2378.639891,242.5569937,1948.010191,2208.929657,2362.86254,2531.791868,2899.582059
