age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
55970,-1.175745734,0.097446613,-1.366564956,-1.241796845,-1.175878243,-1.109951049,-0.983906596,1.001928692,4600
55966,-1.175740494,0.097444988,-1.36668837,-1.241840061,-1.175852713,-1.109951343,-0.984184945,1.001938391,4500
55965,-1.175741908,0.097451412,-1.36677843,-1.241865614,-1.175804901,-1.109845756,-0.984106681,1.001938472,4500
55961,-1.175743664,0.097473232,-1.366581768,-1.241815861,-1.175778422,-1.109608642,-0.984501238,1.001930618,4600
55959,-1.175750561,0.097470028,-1.366467924,-1.241836821,-1.175778846,-1.10978713,-0.984296636,1.001928031,4600
55957,-1.17573805,0.097454568,-1.36605431,-1.24188506,-1.175849812,-1.109868629,-0.983990495,1.001927656,4600
55956,-1.17574494,0.097448049,-1.366409364,-1.241753736,-1.175659966,-1.109872917,-0.984309362,1.001921047,4600
55954,-1.175734519,0.097438136,-1.366517107,-1.241930216,-1.175636921,-1.109863299,-0.984132962,1.001921568,4600
55950,-1.175750912,0.097441619,-1.366947313,-1.241969371,-1.175717858,-1.109686965,-0.984243974,1.001926946,4600
55948,-1.175755256,0.097444045,-1.36647633,-1.241738801,-1.175790986,-1.109893588,-0.983985911,1.001927606,4600
55946,-1.175761394,0.097447163,-1.366439497,-1.241806675,-1.175742907,-1.109818043,-0.984243267,1.001936672,4500
55944,-1.17576441,0.097438623,-1.366252617,-1.241864386,-1.175757881,-1.10986615,-0.983945624,1.001933375,4500
55942,-1.175756357,0.097440232,-1.366455251,-1.24194402,-1.175627231,-1.109814407,-0.984076201,1.001934595,4500
55934,-1.17577865,0.097458787,-1.366888558,-1.242063906,-1.175916674,-1.109810637,-0.984281282,1.00193901,4500
55932,-1.17578849,0.097462225,-1.367011386,-1.241950452,-1.175845851,-1.109994176,-0.984219414,1.001945737,4500
55930,-1.175786202,0.097449847,-1.366802199,-1.241916294,-1.175739587,-1.109845987,-0.984242937,1.001943176,4500
55927,-1.17579394,0.097456212,-1.366614659,-1.2418723,-1.175837544,-1.109744303,-0.984324507,1.001937278,4500
55926,-1.175787978,0.097457942,-1.366647287,-1.241957207,-1.175802382,-1.109773338,-0.98409816,1.001935199,4500
55924,-1.175780377,0.097459813,-1.36667644,-1.242017349,-1.17561433,-1.109858942,-0.984340181,1.001929144,4600
55920,-1.175754482,0.097474541,-1.366544785,-1.241842741,-1.1756625,-1.109725092,-0.983948828,1.00193671,4500
55917,-1.175732691,0.097470426,-1.366941138,-1.241892803,-1.175711592,-1.109676454,-0.984033216,1.001933736,4500
55914,-1.175755392,0.097456931,-1.366902508,-1.241976162,-1.175682735,-1.109742851,-0.984105676,1.001929852,4600
55907,-1.175734239,0.09746004,-1.366916938,-1.242044656,-1.175632404,-1.109706878,-0.98466214,1.001931723,4600
