age,d11B,d11Bse,d18O,MgCa,species
55803,NA,NA,-1.26,NA,Grub
55800,NA,NA,-1.54,NA,Grub
55798,NA,NA,NA,4.23,Grub
55796,15.43,0.19,NA,4.08,Grub
55796,NA,NA,NA,3.41,Tsac
55794,NA,NA,-1.69,NA,Grub
55794,NA,NA,-1.55,NA,Grub
55794,NA,NA,-1.46,NA,Tsac
55794,NA,NA,-1.43,NA,Grub
55794,NA,NA,-1.36,NA,Grub
55794,NA,NA,-1.23,NA,Grub
55794,NA,NA,-1.07,NA,Tsac
55788,15.86,0.12,NA,NA,Grub
55781,NA,NA,-1.6,3.59,Grub
55776,NA,NA,NA,3.88,Grub
55774,NA,NA,NA,3.31,Tsac
55772,NA,NA,NA,4.3,Grub
55765,NA,NA,NA,3.78,Tsac
55761,NA,NA,-1.6,NA,Grub
55759,NA,NA,NA,3.86,Grub
55753,NA,NA,NA,3.43,Tsac
55749,NA,NA,NA,3.99,Grub
55741,NA,NA,-1.62,NA,Grub
55739,15.76,0.1,NA,NA,Grub
55734,NA,NA,NA,3.69,Grub
55732,NA,NA,NA,3.46,Tsac
55722,NA,NA,-1.61,NA,Grub
55715,14.61,0.075,NA,NA,Tsac
55715,15.39,0.1,NA,NA,Grub
55712,NA,NA,NA,4.35,Grub
55710,15.4,0.1,NA,3.65,Grub
55708,NA,NA,NA,3.45,Tsac
55698,NA,NA,NA,3.78,Grub
55697,NA,NA,-1.74,3.55,Grub
55686,NA,NA,NA,3.71,Grub
55686,NA,NA,NA,3.71,Grub
55686,NA,NA,NA,4.21,Grub
55679,NA,NA,NA,3.78,Tsac
55674,NA,NA,NA,3.94,Grub
55673,NA,NA,-1.59,NA,Grub
55660,NA,NA,NA,4.14,Grub
55649,NA,NA,-1.66,3.51,Grub
55644,NA,NA,NA,3.82,Grub
55628,NA,NA,NA,4.07,Grub
55622,NA,NA,NA,4.14,Grub
55619,NA,NA,-1.85,NA,Grub
55607,NA,NA,NA,3.81,Grub
55594,NA,NA,-1.5,3.73,Tsac
55589,NA,NA,-1.54,3.67,Grub
55560,NA,NA,-1.52,4.16,Tsac
55553,NA,NA,NA,3.83,Grub
55550,NA,NA,NA,3.99,Grub
55550,NA,NA,NA,4.04,Grub
55520,NA,NA,-1.72,3.7,Grub
55485,NA,NA,-1.43,NA,Grub
55450,15.22,0.27,-1.6,3.62,Grub
55448,15.53,0.105,NA,NA,Tsac
55411,NA,NA,-1.38,NA,Grub
55376,NA,NA,-1.55,3.55,Grub
55345,NA,NA,-1.41,NA,Grub
55332,NA,NA,-1.26,NA,Grub
55257,NA,NA,NA,3.75,Grub
55257,NA,NA,NA,4.15,Grub
55197,NA,NA,-1.55,3.78,Grub
55197,NA,NA,NA,3.52,Grub
55197,NA,NA,-1.34,3.78,Tsac
55138,15.11,0.12,-1.09,3.77,Tsac
55138,NA,NA,-1.37,4,Grub
55138,NA,NA,NA,3.53,Grub
55079,NA,NA,-1.34,3.88,Grub
55079,NA,NA,-1.12,3.71,Grub
55079,NA,NA,-1.54,NA,Tsac
55021,NA,NA,NA,3.86,Grub
55011,NA,NA,-1.67,3.72,Tsac
54963,NA,NA,NA,3.72,Grub
54936,NA,NA,-1.43,3.59,Tsac
54916,NA,NA,NA,3.87,Grub
54895,NA,NA,-1.31,3.8,Tsac
54865,NA,NA,NA,3.77,Grub
54853,15.28,0.13,-1.52,3.57,Tsac
54777,NA,NA,-1.31,NA,Tsac
54769,NA,NA,NA,3.73,Grub
54696,NA,NA,-1.69,3.55,Tsac
54684,NA,NA,-1.34,3.77,Tsac
54683,NA,NA,NA,3.58,Grub
54660,NA,NA,-1.62,3.49,Tsac
54644,NA,NA,-1.61,3.46,Tsac
54620,NA,NA,-1.66,3.53,Tsac
54604,NA,NA,NA,3.83,Grub
54603,NA,NA,-1.31,3.6,Tsac
54579,NA,NA,-1.71,3.75,Tsac
54563,NA,NA,-1.55,3.66,Tsac
54535,NA,NA,-1.71,3.67,Tsac
54525,NA,NA,NA,3.77,Grub
54523,NA,NA,-1.74,3.91,Tsac
54499,NA,NA,-1.67,3.8,Tsac
54483,NA,NA,-1.67,NA,Tsac
54458,NA,NA,-1.8,NA,Tsac
54444,NA,NA,NA,3.62,Grub
54440,15.35,0.165,NA,3.69,Tsac
54440,NA,NA,-1.67,NA,Tsac
54413,NA,NA,-1.61,3.82,Tsac
54355,NA,NA,NA,3.79,Grub
54355,NA,NA,-1.42,NA,Tsac
54328,NA,NA,-1.74,NA,Tsac
54292,NA,NA,-1.43,3.6,Tsac
54283,NA,NA,-1.53,NA,Tsac
54266,NA,NA,NA,3.9,Grub
54265,NA,NA,-1.35,3.81,Tsac
54251,NA,NA,-1.8,3.56,Tsac
54233,NA,NA,-1.7,NA,Tsac
54211,NA,NA,-1.52,3.74,Tsac
54197,NA,NA,NA,3.77,Tsac
54188,NA,NA,-1.71,3.8,Tsac
54170,NA,NA,-1.64,3.88,Tsac
54157,NA,NA,-1.61,NA,Tsac
54134,NA,NA,-1.77,3.85,Tsac
54125,NA,NA,-1.61,3.75,Tsac
54116,NA,NA,-1.59,3.84,Tsac
